season,season_start,league,division,position,club,source
2000/2001,2000,Liga Artzit,,1,Hapoel Ra'anana,English Wikipedia
2000/2001,2000,Liga Artzit,,2,Maccabi Kafr Kanna,English Wikipedia
2000/2001,2000,Liga Artzit,,3,Hapoel Majd al-Krum,English Wikipedia
2000/2001,2000,Liga Artzit,,4,Beitar Tel Aviv,English Wikipedia
2000/2001,2000,Liga Artzit,,5,Hapoel Ashkelon,English Wikipedia
2000/2001,2000,Liga Artzit,,6,Ironi Nir Ramat HaSharon,English Wikipedia
2000/2001,2000,Liga Artzit,,7,Hapoel Taibe,English Wikipedia
2000/2001,2000,Liga Artzit,,8,Hapoel Acre,English Wikipedia
2000/2001,2000,Liga Artzit,,9,Hapoel Bat Yam,English Wikipedia
2000/2001,2000,Liga Artzit,,10,Hapoel Nof HaGalil,English Wikipedia
2000/2001,2000,Liga Artzit,,11,Maccabi Ashkelon,English Wikipedia
2000/2001,2000,Liga Artzit,,12,Maccabi Sha'arayim,English Wikipedia
2000/2001,2000,Liga Bet,North A,1,Maccabi Ironi Shlomi,English Wikipedia
2000/2001,2000,Liga Bet,North A,2,Ironi Nahariya,English Wikipedia
2000/2001,2000,Liga Bet,North A,3,Hapoel Tuba,English Wikipedia
2000/2001,2000,Liga Bet,North A,4,Hapoel Deir Hanna,English Wikipedia
2000/2001,2000,Liga Bet,North A,5,Hapoel Makr,English Wikipedia
2000/2001,2000,Liga Bet,North A,6,Hapoel Arraba,English Wikipedia
2000/2001,2000,Liga Bet,North A,7,Hapoel Bnei Manda,English Wikipedia
2000/2001,2000,Liga Bet,North A,8,Hapoel Sakhnin,English Wikipedia
2000/2001,2000,Liga Bet,North A,9,Hapoel Maghar,English Wikipedia
2000/2001,2000,Liga Bet,North A,10,Maccabi Sektzia Ma'alot-Tarshiha,English Wikipedia
2000/2001,2000,Liga Bet,North A,11,Hapoel Kaukab,English Wikipedia
2000/2001,2000,Liga Bet,North A,12,Hapoel Bnei Kafr Yasif,English Wikipedia
2000/2001,2000,Liga Bet,North A,13,Hapoel Bnei Nazareth,English Wikipedia
2000/2001,2000,Liga Bet,North A,14,Hapoel Ramot Menashe Megiddo,English Wikipedia
2000/2001,2000,Liga Bet,North A,15,Beitar Safed,English Wikipedia
2000/2001,2000,Liga Bet,North A,16,Hapoel Ironi I'billin,English Wikipedia
2000/2001,2000,Liga Bet,North B,1,Hapoel Asi Gilboa,English Wikipedia
2000/2001,2000,Liga Bet,North B,2,Hapoel Mo'atza Ezorit Galil Tahton,English Wikipedia
2000/2001,2000,Liga Bet,North B,3,Hapoel Daliyat al-Karmel,English Wikipedia
2000/2001,2000,Liga Bet,North B,4,Maccabi Tzur Shalom,English Wikipedia
2000/2001,2000,Liga Bet,North B,5,Hapoel Tel Hanan,English Wikipedia
2000/2001,2000,Liga Bet,North B,6,Hapoel Reineh,English Wikipedia
2000/2001,2000,Liga Bet,North B,7,Hapoel Bir al-Maksur,English Wikipedia
2000/2001,2000,Liga Bet,North B,8,Hapoel Umm al-Fahm,English Wikipedia
2000/2001,2000,Liga Bet,North B,9,Maccabi Ironi Baqa al-Gharbiyye,English Wikipedia
2000/2001,2000,Liga Bet,North B,10,Hapoel Ironi Baqa al-Gharbiyye,English Wikipedia
2000/2001,2000,Liga Bet,North B,11,Hapoel Nahliel,English Wikipedia
2000/2001,2000,Liga Bet,North B,12,Hapoel Fureidis,English Wikipedia
2000/2001,2000,Liga Bet,North B,13,Hapoel Yafa,English Wikipedia
2000/2001,2000,Liga Bet,North B,14,Hapoel Arab Nujeidat,English Wikipedia
2000/2001,2000,Liga Bet,North B,15,Beitar Iksal,English Wikipedia
2000/2001,2000,Liga Bet,North B,16,Ironi Sayid Umm al-Fahm,English Wikipedia
2000/2001,2000,Liga Bet,South B,1,Ironi Ofakim,English Wikipedia
2000/2001,2000,Liga Bet,South B,2,Beitar Kiryat Gat,English Wikipedia
2000/2001,2000,Liga Bet,South B,3,Hapoel Masos/Segev Shalom,English Wikipedia
2000/2001,2000,Liga Bet,South B,4,Maccabi Ironi Bat Yam,English Wikipedia
2000/2001,2000,Liga Bet,South B,5,Maccabi Be'er Sheva,English Wikipedia
2000/2001,2000,Liga Bet,South B,6,Hapoel Merhavim,English Wikipedia
2000/2001,2000,Liga Bet,South B,7,Hapoel Sde Uzziah,English Wikipedia
2000/2001,2000,Liga Bet,South B,8,Maccabi Kiryat Ekron,English Wikipedia
2000/2001,2000,Liga Bet,South B,9,Hapoel Bnei Lakhish,English Wikipedia
2000/2001,2000,Liga Bet,South B,10,Hapoel Yeruham,English Wikipedia
2000/2001,2000,Liga Bet,South B,11,Maccabi Neve Alon Lod,English Wikipedia
2000/2001,2000,Liga Bet,South B,12,Maccabi Ben Zvi,English Wikipedia
2000/2001,2000,Liga Bet,South B,13,Bnei Lod,English Wikipedia
2000/2001,2000,Liga Bet,South B,14,Moadon Tzeirei Rahat,English Wikipedia
2000/2001,2000,Liga Bet,South B,15,Hapoel Aliyah Kfar Saba,English Wikipedia
2000/2001,2000,Liga Bet,South B,16,Hapoel Rahat,English Wikipedia
2000/2001,2000,Liga Leumit,,1,Hapoel Be'er Sheva,Hebrew Wikipedia
2000/2001,2000,Liga Leumit,,2,Maccabi Kiryat Gat,Hebrew Wikipedia
2000/2001,2000,Liga Leumit,,3,Beitar Be'er Sheva,Hebrew Wikipedia
2000/2001,2000,Liga Leumit,,4,Hapoel Ramat Gan,Hebrew Wikipedia
2000/2001,2000,Liga Leumit,,5,Hakoah Ramat Gan,Hebrew Wikipedia
2000/2001,2000,Liga Leumit,,6,Hapoel Beit She'an,Hebrew Wikipedia
2000/2001,2000,Liga Leumit,,7,Bnei Sakhnin,Hebrew Wikipedia
2000/2001,2000,Liga Leumit,,8,Hapoel Kfar Saba,Hebrew Wikipedia
2000/2001,2000,Liga Leumit,,9,Maccabi Herzliya,Hebrew Wikipedia
2000/2001,2000,Liga Leumit,,10,Maccabi Ahi Nazareth,Hebrew Wikipedia
2000/2001,2000,Liga Leumit,,11,Maccabi Ironi Kiryat Ata,Hebrew Wikipedia
2000/2001,2000,Liga Leumit,,12,Hapoel Jerusalem,Hebrew Wikipedia
2000/2001,2000,Ligat ha'Al,,1,Maccabi Haifa,RSSSF
2000/2001,2000,Ligat ha'Al,,2,Hapoel Tel Aviv,RSSSF
2000/2001,2000,Ligat ha'Al,,3,Hapoel Haifa,RSSSF
2000/2001,2000,Ligat ha'Al,,4,Maccabi Tel Aviv,RSSSF
2000/2001,2000,Ligat ha'Al,,5,Beitar Jerusalem,RSSSF
2000/2001,2000,Ligat ha'Al,,6,Hapoel Petah Tikva,RSSSF
2000/2001,2000,Ligat ha'Al,,7,Maccabi Netanya,RSSSF
2000/2001,2000,Ligat ha'Al,,8,Maccabi Petah Tikva,RSSSF
2000/2001,2000,Ligat ha'Al,,9,Hapoel Rishon LeZion,RSSSF
2000/2001,2000,Ligat ha'Al,,10,Ashdod S.C.,RSSSF
2000/2001,2000,Ligat ha'Al,,11,Bnei Yehuda Tel Aviv,RSSSF
2000/2001,2000,Ligat ha'Al,,12,Hapoel Holon,RSSSF
2001/2002,2001,Liga Alef,North,1,Hapoel Ihud Kafr Sumei,English Wikipedia
2001/2002,2001,Liga Alef,North,2,Maccabi Shefa-'Amr,English Wikipedia
2001/2002,2001,Liga Alef,North,3,Hapoel Ironi Herzliya,English Wikipedia
2001/2002,2001,Liga Alef,North,4,Ironi Shlomi,English Wikipedia
2001/2002,2001,Liga Alef,North,5,Hapoel Hadera,English Wikipedia
2001/2002,2001,Liga Alef,North,6,Maccabi Tamra,English Wikipedia
2001/2002,2001,Liga Alef,North,7,Hapoel Migdal HaEmek,English Wikipedia
2001/2002,2001,Liga Alef,North,8,Maccabi Ironi Tirat HaCarmel,English Wikipedia
2001/2002,2001,Liga Alef,North,9,Hapoel Asi Gilboa,English Wikipedia
2001/2002,2001,Liga Alef,North,10,Maccabi Tur'an,English Wikipedia
2001/2002,2001,Liga Alef,North,11,Hapoel Kafr Kanna,English Wikipedia
2001/2002,2001,Liga Alef,North,12,Maccabi Hadera,English Wikipedia
2001/2002,2001,Liga Alef,North,13,Tzeirei Nahf,English Wikipedia
2001/2002,2001,Liga Alef,North,14,Hapoel Hurfeish,English Wikipedia
2001/2002,2001,Liga Alef,South,1,Maccabi Ramat Amidar,English Wikipedia
2001/2002,2001,Liga Alef,South,2,Maccabi Sha'arayim,English Wikipedia
2001/2002,2001,Liga Alef,South,3,Hapoel Nahlat Yehuda,English Wikipedia
2001/2002,2001,Liga Alef,South,4,Ironi Ofakim,English Wikipedia
2001/2002,2001,Liga Alef,South,5,Hapoel Jaljulia,English Wikipedia
2001/2002,2001,Liga Alef,South,6,Beitar Kiryat Gat,English Wikipedia
2001/2002,2001,Liga Alef,South,7,Hapoel Marmorek,English Wikipedia
2001/2002,2001,Liga Alef,South,8,Hapoel Mevaseret Zion,English Wikipedia
2001/2002,2001,Liga Alef,South,9,Hapoel Tira,English Wikipedia
2001/2002,2001,Liga Alef,South,10,Hapoel Kfar Shalem,English Wikipedia
2001/2002,2001,Liga Alef,South,11,Hapoel Dimona,English Wikipedia
2001/2002,2001,Liga Alef,South,12,Maccabi Jaffa,English Wikipedia
2001/2002,2001,Liga Alef,South,13,Hapoel Kiryat Ono,English Wikipedia
2001/2002,2001,Liga Alef,South,14,Hapoel Lod,English Wikipedia
2001/2002,2001,Liga Alef,South,15,Maccabi Jerusalem,English Wikipedia
2001/2002,2001,Liga Artzit,,1,Hapoel Jerusalem,English Wikipedia
2001/2002,2001,Liga Artzit,,2,Hapoel Nof HaGalil,English Wikipedia
2001/2002,2001,Liga Artzit,,3,Beitar Tel Aviv,English Wikipedia
2001/2002,2001,Liga Artzit,,4,Maccabi Ironi Kiryat Ata,English Wikipedia
2001/2002,2001,Liga Artzit,,5,Hapoel Ashkelon,English Wikipedia
2001/2002,2001,Liga Artzit,,6,Hapoel Acre,English Wikipedia
2001/2002,2001,Liga Artzit,,7,Ironi Nir Ramat HaSharon,English Wikipedia
2001/2002,2001,Liga Artzit,,8,Ironi Kiryat Shmona,English Wikipedia
2001/2002,2001,Liga Artzit,,9,Hapoel Bat Yam,English Wikipedia
2001/2002,2001,Liga Artzit,,10,Hapoel Majd al-Krum,English Wikipedia
2001/2002,2001,Liga Artzit,,11,Hapoel Taibe,English Wikipedia
2001/2002,2001,Liga Artzit,,12,Maccabi Yavne,English Wikipedia
2001/2002,2001,Liga Bet,North A,1,Hapoel Tuba,English Wikipedia
2001/2002,2001,Liga Bet,North A,2,Hapoel Arraba,English Wikipedia
2001/2002,2001,Liga Bet,North A,3,Hapoel Iksal,English Wikipedia
2001/2002,2001,Liga Bet,North A,4,Hapoel Karmiel,English Wikipedia
2001/2002,2001,Liga Bet,North A,5,Ironi Nahariya,English Wikipedia
2001/2002,2001,Liga Bet,North A,6,Hapoel Sakhnin,English Wikipedia
2001/2002,2001,Liga Bet,North A,7,Maccabi Sektzia Ma'alot-Tarshiha,English Wikipedia
2001/2002,2001,Liga Bet,North A,8,Hapoel Kaukab,English Wikipedia
2001/2002,2001,Liga Bet,North A,9,Maccabi Bnei Yarka,English Wikipedia
2001/2002,2001,Liga Bet,North A,10,Hapoel Bnei Nazareth,English Wikipedia
2001/2002,2001,Liga Bet,North A,11,Hapoel Deir Hanna,English Wikipedia
2001/2002,2001,Liga Bet,North A,12,Hapoel Kisra,English Wikipedia
2001/2002,2001,Liga Bet,North A,13,Hapoel Makr,English Wikipedia
2001/2002,2001,Liga Bet,North A,14,Hapoel Bnei Manda,English Wikipedia
2001/2002,2001,Liga Bet,North A,15,Hapoel Ramot Menashe Megiddo,English Wikipedia
2001/2002,2001,Liga Bet,North B,1,Maccabi Tzur Shalom,English Wikipedia
2001/2002,2001,Liga Bet,North B,2,Hapoel Mo'atza Ezorit Galil Tahton,English Wikipedia
2001/2002,2001,Liga Bet,North B,3,Hapoel Reineh,English Wikipedia
2001/2002,2001,Liga Bet,North B,4,Maccabi Isfiya,English Wikipedia
2001/2002,2001,Liga Bet,North B,5,Hapoel Tel Hanan,English Wikipedia
2001/2002,2001,Liga Bet,North B,6,Hapoel Umm al-Fahm,English Wikipedia
2001/2002,2001,Liga Bet,North B,7,Hapoel Ahva Haifa,English Wikipedia
2001/2002,2001,Liga Bet,North B,8,Hapoel Yafa,English Wikipedia
2001/2002,2001,Liga Bet,North B,9,Maccabi Kafr Qara,English Wikipedia
2001/2002,2001,Liga Bet,North B,10,Hapoel Bir al-Maksur,English Wikipedia
2001/2002,2001,Liga Bet,North B,11,Hapoel Emek Tamra,English Wikipedia
2001/2002,2001,Liga Bet,North B,12,Hapoel Nahliel,English Wikipedia
2001/2002,2001,Liga Bet,North B,13,Hapoel Daliyat al-Karmel,English Wikipedia
2001/2002,2001,Liga Bet,North B,14,Hapoel Ironi Baqa al-Gharbiyye,English Wikipedia
2001/2002,2001,Liga Bet,North B,15,Maccabi Ironi Baqa al-Gharbiyye,English Wikipedia
2001/2002,2001,Liga Bet,North B,16,Hapoel Fureidis,English Wikipedia
2001/2002,2001,Liga Bet,South A,1,Maccabi HaShikma Hen,English Wikipedia
2001/2002,2001,Liga Bet,South A,2,Hapoel Hod HaSharon,English Wikipedia
2001/2002,2001,Liga Bet,South A,3,Otzma F.C. Holon,English Wikipedia
2001/2002,2001,Liga Bet,South A,4,Beitar Ramat Gan,English Wikipedia
2001/2002,2001,Liga Bet,South A,5,Hapoel Mahane Yehuda,English Wikipedia
2001/2002,2001,Liga Bet,South A,6,Maccabi Ironi Bat Yam,English Wikipedia
2001/2002,2001,Liga Bet,South A,7,Hapoel Qalansawe,English Wikipedia
2001/2002,2001,Liga Bet,South A,8,Maccabi Yehud,English Wikipedia
2001/2002,2001,Liga Bet,South A,9,Hapoel Ar'ara,English Wikipedia
2001/2002,2001,Liga Bet,South A,10,Hapoel Azor,English Wikipedia
2001/2002,2001,Liga Bet,South A,11,Shimshon Bnei Tayibe,English Wikipedia
2001/2002,2001,Liga Bet,South A,12,Beitar Jaffa,English Wikipedia
2001/2002,2001,Liga Bet,South A,13,M.M. Givat Shmuel,English Wikipedia
2001/2002,2001,Liga Bet,South A,14,Beitar Holon,English Wikipedia
2001/2002,2001,Liga Bet,South A,15,Hapoel Kafr Qasim,English Wikipedia
2001/2002,2001,Liga Bet,South A,16,Maccabi Qalansawe,English Wikipedia
2001/2002,2001,Liga Bet,South A,17,Beitar Ironi Ariel,English Wikipedia
2001/2002,2001,Liga Bet,South A,18,Beitar Nes Tubruk,English Wikipedia
2001/2002,2001,Liga Bet,South B,1,Maccabi Be'er Sheva,English Wikipedia
2001/2002,2001,Liga Bet,South B,2,A.S. Eilat,English Wikipedia
2001/2002,2001,Liga Bet,South B,3,Hapoel Masos/Segev Shalom,English Wikipedia
2001/2002,2001,Liga Bet,South B,4,Hapoel Arad,English Wikipedia
2001/2002,2001,Liga Bet,South B,5,Hapoel Merhavim,English Wikipedia
2001/2002,2001,Liga Bet,South B,6,Maccabi Ben Zvi,English Wikipedia
2001/2002,2001,Liga Bet,South B,7,Ironi Ramla,English Wikipedia
2001/2002,2001,Liga Bet,South B,8,Hapoel Bnei Lakhish,English Wikipedia
2001/2002,2001,Liga Bet,South B,9,Bnei Lod,English Wikipedia
2001/2002,2001,Liga Bet,South B,10,Hapoel Yeruham,English Wikipedia
2001/2002,2001,Liga Bet,South B,11,Maccabi Kiryat Ekron,English Wikipedia
2001/2002,2001,Liga Bet,South B,12,Beitar Giv'at Ze'ev,English Wikipedia
2001/2002,2001,Liga Bet,South B,13,Hapoel Sde Uzziah,English Wikipedia
2001/2002,2001,Liga Bet,South B,14,Moadon Tzeirei Rahat,English Wikipedia
2001/2002,2001,Liga Bet,South B,15,Maccabi Neve Alon Lod,English Wikipedia
2001/2002,2001,Liga Bet,South B,16,Hapoel Aliyah Kfar Saba,English Wikipedia
2001/2002,2001,Liga Leumit,,1,Hapoel Kfar Saba,Hebrew Wikipedia
2001/2002,2001,Liga Leumit,,2,Bnei Yehuda Tel Aviv,Hebrew Wikipedia
2001/2002,2001,Liga Leumit,,3,Maccabi Herzliya,Hebrew Wikipedia
2001/2002,2001,Liga Leumit,,4,Beitar Be'er Sheva,Hebrew Wikipedia
2001/2002,2001,Liga Leumit,,5,Maccabi Kafr Kanna,Hebrew Wikipedia
2001/2002,2001,Liga Leumit,,6,Bnei Sakhnin,Hebrew Wikipedia
2001/2002,2001,Liga Leumit,,7,Hakoah Ramat Gan,Hebrew Wikipedia
2001/2002,2001,Liga Leumit,,8,Maccabi Ahi Nazareth,Hebrew Wikipedia
2001/2002,2001,Liga Leumit,,9,Hapoel Ra'anana,Hebrew Wikipedia
2001/2002,2001,Liga Leumit,,10,Hapoel Ramat Gan,Hebrew Wikipedia
2001/2002,2001,Liga Leumit,,11,Hapoel Holon,Hebrew Wikipedia
2001/2002,2001,Liga Leumit,,12,Hapoel Beit She'an,Hebrew Wikipedia
2001/2002,2001,Ligat ha'Al,,1,Maccabi Haifa,RSSSF
2001/2002,2001,Ligat ha'Al,,2,Hapoel Tel Aviv,RSSSF
2001/2002,2001,Ligat ha'Al,,3,Maccabi Tel Aviv,RSSSF
2001/2002,2001,Ligat ha'Al,,4,Ashdod S.C.,RSSSF
2001/2002,2001,Ligat ha'Al,,5,Hapoel Be'er Sheva,RSSSF
2001/2002,2001,Ligat ha'Al,,6,Hapoel Petah Tikva,RSSSF
2001/2002,2001,Ligat ha'Al,,7,Maccabi Netanya,RSSSF
2001/2002,2001,Ligat ha'Al,,8,Maccabi Petah Tikva,RSSSF
2001/2002,2001,Ligat ha'Al,,9,Hapoel Rishon LeZion,RSSSF
2001/2002,2001,Ligat ha'Al,,10,Beitar Jerusalem,RSSSF
2001/2002,2001,Ligat ha'Al,,11,Hapoel Haifa,RSSSF
2001/2002,2001,Ligat ha'Al,,12,Maccabi Kiryat Gat,RSSSF
2002/2003,2002,Liga Alef,North,1,Hapoel Ironi Herzliya,English Wikipedia
2002/2003,2002,Liga Alef,North,2,Hapoel Asi Gilboa,English Wikipedia
2002/2003,2002,Liga Alef,North,3,Maccabi Shefa-'Amr,English Wikipedia
2002/2003,2002,Liga Alef,North,4,Hapoel Tuba,English Wikipedia
2002/2003,2002,Liga Alef,North,5,Hapoel Migdal HaEmek,English Wikipedia
2002/2003,2002,Liga Alef,North,6,Maccabi Ironi Tirat HaCarmel,English Wikipedia
2002/2003,2002,Liga Alef,North,7,Ironi Shlomi,English Wikipedia
2002/2003,2002,Liga Alef,North,8,Maccabi Tzur Shalom,English Wikipedia
2002/2003,2002,Liga Alef,North,9,Maccabi Tur'an,English Wikipedia
2002/2003,2002,Liga Alef,North,10,Maccabi Hadera,English Wikipedia
2002/2003,2002,Liga Alef,North,11,Hapoel Kafr Kanna,English Wikipedia
2002/2003,2002,Liga Alef,North,12,Maccabi Tamra,English Wikipedia
2002/2003,2002,Liga Alef,North,13,Hapoel Hadera,English Wikipedia
2002/2003,2002,Liga Alef,North,14,Hapoel Taibe,English Wikipedia
2002/2003,2002,Liga Alef,South,1,Hapoel Tira,English Wikipedia
2002/2003,2002,Liga Alef,South,2,Hapoel Marmorek,English Wikipedia
2002/2003,2002,Liga Alef,South,3,Maccabi HaShikma Hen,English Wikipedia
2002/2003,2002,Liga Alef,South,4,Maccabi Be'er Sheva,English Wikipedia
2002/2003,2002,Liga Alef,South,5,Maccabi Sha'arayim,English Wikipedia
2002/2003,2002,Liga Alef,South,6,Maccabi Yavne,English Wikipedia
2002/2003,2002,Liga Alef,South,7,Hapoel Kfar Shalem,English Wikipedia
2002/2003,2002,Liga Alef,South,8,Hapoel Nahlat Yehuda,English Wikipedia
2002/2003,2002,Liga Alef,South,9,Ironi Ofakim,English Wikipedia
2002/2003,2002,Liga Alef,South,10,Hapoel Jaljulia,English Wikipedia
2002/2003,2002,Liga Alef,South,11,Hapoel Dimona,English Wikipedia
2002/2003,2002,Liga Alef,South,12,Hapoel Mevaseret Zion,English Wikipedia
2002/2003,2002,Liga Alef,South,13,Beitar Kiryat Gat,English Wikipedia
2002/2003,2002,Liga Alef,South,14,Maccabi Jaffa,English Wikipedia
2002/2003,2002,Liga Artzit,,1,Hakoah Ramat Gan,English Wikipedia
2002/2003,2002,Liga Artzit,,2,Ironi Kiryat Shmona,English Wikipedia
2002/2003,2002,Liga Artzit,,3,Maccabi Ramat Amidar,English Wikipedia
2002/2003,2002,Liga Artzit,,4,Hapoel Acre,English Wikipedia
2002/2003,2002,Liga Artzit,,5,Hapoel Majd al-Krum,English Wikipedia
2002/2003,2002,Liga Artzit,,6,Hapoel Ashkelon,English Wikipedia
2002/2003,2002,Liga Artzit,,7,Maccabi Ironi Kiryat Ata,English Wikipedia
2002/2003,2002,Liga Artzit,,8,Beitar Tel Aviv,English Wikipedia
2002/2003,2002,Liga Artzit,,9,Hapoel Beit She'an,English Wikipedia
2002/2003,2002,Liga Artzit,,10,Ironi Nir Ramat HaSharon,English Wikipedia
2002/2003,2002,Liga Artzit,,11,Hapoel Ihud Kafr Sumei,English Wikipedia
2002/2003,2002,Liga Artzit,,12,Hapoel Bat Yam,English Wikipedia
2002/2003,2002,Liga Bet,North A,1,Hapoel Makr,English Wikipedia
2002/2003,2002,Liga Bet,North A,2,Hapoel Tzeirei Nahf,English Wikipedia
2002/2003,2002,Liga Bet,North A,3,Hapoel Peki'in,English Wikipedia
2002/2003,2002,Liga Bet,North A,4,Hapoel Arraba,English Wikipedia
2002/2003,2002,Liga Bet,North A,5,Ironi Nahariya,English Wikipedia
2002/2003,2002,Liga Bet,North A,6,Maccabi Sektzia Ma'alot-Tarshiha,English Wikipedia
2002/2003,2002,Liga Bet,North A,7,Bnei Abu Snan,English Wikipedia
2002/2003,2002,Liga Bet,North A,8,Hapoel Bnei Jadeidi,English Wikipedia
2002/2003,2002,Liga Bet,North A,9,Hapoel Karmiel,English Wikipedia
2002/2003,2002,Liga Bet,North A,10,Hapoel Yanuh,English Wikipedia
2002/2003,2002,Liga Bet,North A,11,Hapoel Bnei Manda,English Wikipedia
2002/2003,2002,Liga Bet,North A,12,Hapoel Deir Hanna,English Wikipedia
2002/2003,2002,Liga Bet,North A,13,Beitar Haifa,English Wikipedia
2002/2003,2002,Liga Bet,North A,14,Maccabi Bnei Yarka,English Wikipedia
2002/2003,2002,Liga Bet,North A,15,Hapoel Kisra,English Wikipedia
2002/2003,2002,Liga Bet,North A,16,Hapoel Sakhnin,English Wikipedia
2002/2003,2002,Liga Bet,North B,1,Hapoel Reineh,English Wikipedia
2002/2003,2002,Liga Bet,North B,2,Hapoel Afula,English Wikipedia
2002/2003,2002,Liga Bet,North B,3,Hapoel Umm al-Fahm,English Wikipedia
2002/2003,2002,Liga Bet,North B,4,Hapoel Daliyat al-Karmel,English Wikipedia
2002/2003,2002,Liga Bet,North B,5,Hapoel Iksal,English Wikipedia
2002/2003,2002,Liga Bet,North B,6,Hapoel Ahva Haifa,English Wikipedia
2002/2003,2002,Liga Bet,North B,7,Hapoel Mo'atza Ezorit Galil Tahton,English Wikipedia
2002/2003,2002,Liga Bet,North B,8,Maccabi Isfiya,English Wikipedia
2002/2003,2002,Liga Bet,North B,9,Hapoel Emek Tamra,English Wikipedia
2002/2003,2002,Liga Bet,North B,10,Hapoel Bir al-Maksur,English Wikipedia
2002/2003,2002,Liga Bet,North B,11,Hapoel Yafa,English Wikipedia
2002/2003,2002,Liga Bet,North B,12,Hapoel Tel Hanan,English Wikipedia
2002/2003,2002,Liga Bet,North B,13,Ironi Sayid Umm al-Fahm,English Wikipedia
2002/2003,2002,Liga Bet,North B,14,Maccabi Kafr Qara,English Wikipedia
2002/2003,2002,Liga Bet,North B,15,Hapoel Bnei Nazareth,English Wikipedia
2002/2003,2002,Liga Bet,North B,16,Hapoel Nahliel,English Wikipedia
2002/2003,2002,Liga Bet,South A,1,F.C. Kafr Qasim,English Wikipedia
2002/2003,2002,Liga Bet,South A,2,Hapoel Hod HaSharon,English Wikipedia
2002/2003,2002,Liga Bet,South A,3,Hapoel Kiryat Ono,English Wikipedia
2002/2003,2002,Liga Bet,South A,4,Hapoel Azor,English Wikipedia
2002/2003,2002,Liga Bet,South A,5,Hapoel Mahane Yehuda,English Wikipedia
2002/2003,2002,Liga Bet,South A,6,Otzma F.C. Holon,English Wikipedia
2002/2003,2002,Liga Bet,South A,7,Maccabi Ironi Bat Yam,English Wikipedia
2002/2003,2002,Liga Bet,South A,8,Maccabi Montefiore,English Wikipedia
2002/2003,2002,Liga Bet,South A,9,Beitar Ramat Gan,English Wikipedia
2002/2003,2002,Liga Bet,South A,10,Hapoel Qalansawe,English Wikipedia
2002/2003,2002,Liga Bet,South A,11,M.M. Giv'at Shmuel,English Wikipedia
2002/2003,2002,Liga Bet,South A,12,Beitar Jaffa,English Wikipedia
2002/2003,2002,Liga Bet,South A,13,Hapoel Ar'ara,English Wikipedia
2002/2003,2002,Liga Bet,South A,14,Maccabi Ironi Kfar Yona,English Wikipedia
2002/2003,2002,Liga Bet,South A,15,Maccabi Yehud,English Wikipedia
2002/2003,2002,Liga Bet,South A,16,Shimshon Bnei Tayibe,English Wikipedia
2002/2003,2002,Liga Bet,South B,1,Beitar Giv'at Ze'ev,English Wikipedia
2002/2003,2002,Liga Bet,South B,2,Hapoel Arad,English Wikipedia
2002/2003,2002,Liga Bet,South B,3,Hapoel Masos/Segev Shalom,English Wikipedia
2002/2003,2002,Liga Bet,South B,4,Hapoel Namal Ashdod,English Wikipedia
2002/2003,2002,Liga Bet,South B,5,Bnei Lod,English Wikipedia
2002/2003,2002,Liga Bet,South B,6,Hapoel Bnei Lakhish,English Wikipedia
2002/2003,2002,Liga Bet,South B,7,Hapoel Yeruham,English Wikipedia
2002/2003,2002,Liga Bet,South B,8,Hapoel Merhavim,English Wikipedia
2002/2003,2002,Liga Bet,South B,9,A.S. Eilat,English Wikipedia
2002/2003,2002,Liga Bet,South B,10,Maccabi Ben Zvi,English Wikipedia
2002/2003,2002,Liga Bet,South B,11,Maccabi Kiryat Ekron,English Wikipedia
2002/2003,2002,Liga Bet,South B,12,Hapoel Oranit,English Wikipedia
2002/2003,2002,Liga Bet,South B,13,Maccabi Jerusalem,English Wikipedia
2002/2003,2002,Liga Bet,South B,14,Ironi Ramla,English Wikipedia
2002/2003,2002,Liga Bet,South B,15,Hapoel Rahat,English Wikipedia
2002/2003,2002,Liga Bet,South B,16,Hapoel Sde Uzziah,English Wikipedia
2002/2003,2002,Liga Leumit,,1,Maccabi Ahi Nazareth,Hebrew Wikipedia
2002/2003,2002,Liga Leumit,,2,Bnei Sakhnin,Hebrew Wikipedia
2002/2003,2002,Liga Leumit,,3,Hapoel Jerusalem,Hebrew Wikipedia
2002/2003,2002,Liga Leumit,,4,Hapoel Nof HaGalil,Hebrew Wikipedia
2002/2003,2002,Liga Leumit,,5,Maccabi Herzliya,Hebrew Wikipedia
2002/2003,2002,Liga Leumit,,6,Hapoel Haifa,Hebrew Wikipedia
2002/2003,2002,Liga Leumit,,7,Hapoel Ramat Gan,Hebrew Wikipedia
2002/2003,2002,Liga Leumit,,8,Hapoel Ra'anana,Hebrew Wikipedia
2002/2003,2002,Liga Leumit,,9,Hapoel Holon,Hebrew Wikipedia
2002/2003,2002,Liga Leumit,,10,Maccabi Kiryat Gat,Hebrew Wikipedia
2002/2003,2002,Liga Leumit,,11,Maccabi Kafr Kanna,Hebrew Wikipedia
2002/2003,2002,Liga Leumit,,12,Beitar Be'er Sheva,Hebrew Wikipedia
2002/2003,2002,Ligat ha'Al,,1,Maccabi Tel Aviv,RSSSF
2002/2003,2002,Ligat ha'Al,,2,Maccabi Haifa,RSSSF
2002/2003,2002,Ligat ha'Al,,3,Hapoel Tel Aviv,RSSSF
